pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
1,0,0,0,0,1,-1,0,0,1,2,0,893,mid
1,-1,0,0,0,1,-1,0,0,-1,3,0,893,mid
1,-1,0,0,0,1,-1,1,0,1,4,0,893,mid
1,-1,0,-1,0,1,-1,1,0,-1,5,0,893,mid
1,-1,0,-1,1,1,-1,1,0,1,6,0,893,mid
1,-1,0,-1,1,1,-1,1,-1,-1,7,0,893,mid
1,-1,1,-1,1,1,-1,1,-1,1,8,0,893,end
1,0,0,0,0,0,0,0,0,1,0,1,894,start
1,0,0,0,-1,0,0,0,0,-1,1,1,894,mid
1,0,0,0,-1,0,0,1,0,1,2,1,894,mid
1,-1,0,0,-1,0,0,1,0,-1,3,1,894,mid
1,-1,0,0,-1,0,0,1,1,1,4,1,894,mid
1,-1,0,0,-1,0,-1,1,1,-1,5,1,894,mid
1,-1,0,0,-1,1,-1,1,1,1,6,1,894,mid
1,-1,0,-1,-1,1,-1,1,1,-1,7,1,894,mid
1,-1,1,-1,-1,1,-1,1,1,1,8,1,894,end
1,0,0,0,0,0,0,0,0,1,0,1,895,start
1,0,0,0,-1,0,0,0,0,-1,1,1,895,mid
1,0,0,0,-1,0,0,1,0,1,2,1,895,mid
1,-1,0,0,-1,0,0,1,0,-1,3,1,895,mid
1,-1,0,0,-1,0,0,1,1,1,4,1,895,mid
1,-1,-1,0,-1,0,0,1,1,-1,5,1,895,mid
1,-1,-1,1,-1,0,0,1,1,1,6,1,895,mid
1,-1,-1,1,-1,-1,0,1,1,-1,7,1,895,mid
1,-1,-1,1,-1,-1,1,1,1,1,8,1,895,end
1,0,0,0,0,0,0,0,0,1,0,0,896,start
1,0,0,-1,0,0,0,0,0,-1,1,0,896,mid
1,0,0,-1,0,1,0,0,0,1,2,0,896,mid
1,0,0,-1,-1,1,0,0,0,-1,3,0,896,mid
1,0,0,-1,-1,1,0,0,1,1,4,0,896,mid
1,0,-1,-1,-1,1,0,0,1,-1,5,0,896,mid
1,0,-1,-1,-1,1,1,0,1,1,6,0,896,mid
1,0,-1,-1,-1,1,1,-1,1,-1,7,0,896,mid
1,1,-1,-1,-1,1,1,-1,1,1,8,0,896,end
